VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
2,2023-04-30 20:53:14,2023-04-30 21:13:51,1,10.33,1,N,138,90,1,40.8,6.0,0.5,11.82,6.55,1,70.92,2.5,1.75
2,2023-04-30 20:34:48,2023-04-30 20:56:04,1,16.1,1,N,138,13,1,59.7,6.0,0.5,15.25,6.55,1,93.25,2.5,1.75
2,2023-04-30 20:39:44,2023-04-30 20:56:24,1,8.6,1,N,138,141,1,34.5,6.0,0.5,7.5,6.55,1,60.3,2.5,1.75
2,2023-04-30 20:07:26,2023-04-30 20:31:55,1,14.52,1,N,138,211,1,55.5,6.0,0.5,14.41,6.55,1,88.21,2.5,1.75
2,2023-04-30 20:55:43,2023-04-30 21:30:17,1,22.4,1,N,138,149,1,84.2,6.0,0.5,5.0,0.0,1,98.45,0.0,1.75
2,2023-04-30 20:33:49,2023-04-30 20:42:17,2,1.9,1,N,48,142,1,11.4,1.0,0.5,2.0,0.0,1,18.4,2.5,0.0
2,2023-04-30 20:27:34,2023-04-30 20:29:33,1,0.77,1,N,170,170,1,5.1,1.0,0.5,2.02,0.0,1,12.12,2.5,0.0
2,2023-04-30 20:36:20,2023-04-30 21:15:47,2,22.73,1,N,132,257,2,87.0,1.0,0.5,0.0,0.0,1,89.5,0.0,0.0
2,2023-04-30 20:11:48,2023-04-30 20:30:55,1,9.35,1,N,138,132,2,37.3,6.0,0.5,0.0,0.0,1,46.55,0.0,1.75
2,2023-04-30 20:50:35,2023-04-30 21:10:07,1,11.42,1,N,132,70,1,45.0,1.0,0.5,11.88,0.0,1,61.13,0.0,1.75
2,2023-04-30 20:34:34,2023-04-30 20:45:56,1,4.14,1,N,138,146,1,18.4,6.0,0.5,5.18,0.0,1,32.83,0.0,1.75
2,2023-04-30 20:06:27,2023-04-30 20:14:59,1,1.39,1,N,186,107,1,10.7,1.0,0.5,0.0,0.0,1,15.7,2.5,0.0
2,2023-04-30 20:29:43,2023-04-30 20:46:21,3,8.11,1,N,138,41,1,33.1,6.0,0.5,9.43,6.55,1,58.33,0.0,1.75
1,2023-04-30 20:04:12,2023-04-30 20:15:08,1,2.9,1,N,90,209,2,14.2,3.5,0.5,0.0,0.0,1,19.2,2.5,0.0
1,2023-04-30 20:48:58,2023-04-30 20:55:38,1,2.3,1,N,100,125,1,10.7,3.5,0.5,2.0,0.0,1,17.7,2.5,0.0
1,2023-04-30 20:21:33,2023-04-30 20:33:16,1,5.8,1,N,231,141,1,24.7,3.5,0.5,5.9,0.0,1,35.6,2.5,0.0
1,2023-04-30 20:55:39,2023-04-30 21:00:13,1,1.2,1,N,263,75,1,7.9,3.5,0.5,2.0,0.0,1,14.9,2.5,0.0
2,2023-04-30 20:18:17,2023-04-30 20:54:09,1,19.65,2,N,132,143,1,70.0,0.0,0.5,0.0,6.55,1,82.3,2.5,1.75
2,2023-04-30 20:00:52,2023-04-30 20:13:59,1,3.18,1,N,246,231,1,15.6,1.0,0.5,3.71,0.0,1,24.31,2.5,0.0
2,2023-04-30 20:13:27,2023-04-30 20:36:38,1,12.85,1,N,138,13,1,49.9,6.0,0.5,2.0,0.0,1,63.65,2.5,1.75
2,2023-04-30 20:49:09,2023-04-30 21:03:40,2,7.87,1,N,138,262,1,31.7,6.0,0.5,7.5,6.55,1,57.5,2.5,1.75
2,2023-04-30 20:01:04,2023-04-30 20:16:19,1,8.4,1,N,138,148,1,33.8,6.0,0.5,8.76,0.0,1,54.31,2.5,1.75
